Material description,Manufacturer,Rated power,Actual flow volume air/gas,"Pressure, static",
Centrifugal fan,HYGIENIC AIR,75.000 kW,"140,000.000 m3/h","1,200 Pa",
Centrifugal fan,HYGIENIC AIR,75.000 kW,"140,000.000 m3/h","1,200 Pa",
Centrifugal fan with housing,NADI,11.000 kW,"8,000.000 m3/h","2,500 Pa",
Centrifugal fan with housing,NADI,7.500 kW,"24,000.000 m3/h",550 Pa,
Centrifugal fan with housing,NADI,5.500 kW,"13,000.000 m3/h",550 Pa,
Centrifugal fan with housing,NADI,7.500 kW,"12,833.000 m3/h","1,200 Pa",
Centrifugal fan with housing,NADI,2.200 kW,"7,332.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,7.500 kW,"12,393.000 m3/h","1,200 Pa",
Centrifugal fan with housing,NADI,3.700 kW,"7,746.000 m3/h",750 Pa,
Centrifugal fan with housing,NADI,1.500 kW,"4,500.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,3.700 kW,"7,500.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,15.000 kW,"31,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,5.500 kW,"13,500.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,15.000 kW,"34,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,3.700 kW,"8,600.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,30.000 kW,"73,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,11.000 kW,"8,000.000 m3/h","2,500 Pa",
Centrifugal fan with housing,NADI,11.000 kW,"26,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,5.500 kW,"14,000.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"6,000.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"7,000.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,11.000 kW,"15,000.000 m3/h","1,350 Pa",
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"5,200.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,3.700 kW,"10,000.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"8,000.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"3,400.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"6,000.000 m3/h",450 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"7,500.000 m3/h",500 Pa,
Centrifugal fan with housing,HYGIENIC AIR,11.000 kW,"31,200.000 m3/h",800 Pa,
Centrifugal fan,HYGIENIC AIR,110.000 kW,"126,000.000 m3/h","1,800 Pa",
Centrifugal fan with housing,NADI,110.000 kW,"126,000.000 m3/h","1,800 Pa",
Centrifugal fan with housing,NADI,11.000 kW,"31,200.000 m3/h",750 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"7,500.000 m3/h",500 Pa,
Centrifugal fan with housing,NADI,7.500 kW,"20,500.000 m3/h",600 Pa,
Centrifugal fan,HYGIENIC AIR,18.500 kW,"27,000.000 m3/h","1,330 Pa",
Centrifugal fan,HYGIENIC AIR,1.100 kW,"2,000.000 m3/h",800 Pa,
Centrifugal fan with housing,HYGIENIC AIR,5.500 kW,"9,000.000 m3/h","1,000 Pa",
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"4,043.000 m3/h",800 Pa,
Centrifugal fan with housing,HYGIENIC AIR,5.500 kW,"15,000.000 m3/h",600 Pa,
Centrifugal fan,HYGIENIC AIR,5.500 kW,"15,000.000 m3/h",800 Pa,
Centrifugal fan,HYGIENIC AIR,7.500 kW,"22,000.000 m3/h",800 Pa,
Centrifugal fan,HYGIENIC AIR,15.000 kW,"34,000.000 m3/h","1,000 Pa",
Centrifugal fan with housing,HYGIENIC AIR,37.000 kW,"13,000.000 m3/h","6,500 Pa",
Centrifugal fan with housing,HYGIENIC AIR,75.000 kW,"27,000.000 m3/h","6,500 Pa",
